prey growth rate,0.8
prey death rate,0.2
predator growth rate,0.0004
predator death,0.2
x,500
y,20
n,90000
t (days),180

timestep,x,y
0,500,20
0.002,500.761,20
0.004,501.522,20
0.006,502.285,20.0001
0.008,503.049,20.0001
0.01,503.814,20.0002
0.012,504.581,20.0002
0.014,505.348,20.0003
0.016,506.117,20.0004
0.018,506.887,20.0005
0.02,507.658,20.0006
0.022,508.43,20.0007
0.024,509.204,20.0009
0.026,509.978,20.001
0.028,510.754,20.0012
0.03,511.531,20.0014
0.032,512.309,20.0016
0.034,513.088,20.0018
0.036,513.869,20.002
0.038,514.651,20.0022
0.04,515.433,20.0025
0.042,516.217,20.0027
0.044,517.003,20.003
0.046,517.789,20.0033
0.048,518.577,20.0035
0.05,519.366,20.0038
0.052,520.156,20.0042
0.054,520.947,20.0045
0.056,521.739,20.0048
0.058,522.533,20.0052
0.06,523.328,20.0056
0.062,524.124,20.0059
0.064,524.921,20.0063
0.066,525.72,20.0067
0.068,526.519,20.0072
0.07,527.32,20.0076
0.072,528.122,20.008
0.074,528.926,20.0085
0.076,529.73,20.009
0.078,530.536,20.0094
0.08,531.343,20.0099
0.082,532.151,20.0104
0.084,532.961,20.011
0.086,533.771,20.0115
0.088,534.583,20.012
0.09,535.396,20.0126
0.092,536.211,20.0132
0.094,537.026,20.0138
0.096,537.843,20.0144
0.098,538.661,20.015
0.1,539.481,20.0156
0.102,540.301,20.0162
0.104,541.123,20.0169
0.106,541.946,20.0176
0.108,542.771,20.0182
0.11,543.596,20.0189
0.112,544.423,20.0196
0.114,545.251,20.0203
0.116,546.081,20.0211
0.118,546.911,20.0218
0.12,547.743,20.0226
0.122,548.576,20.0234
0.124,549.411,20.0241
0.126,550.246,20.0249
0.128,551.083,20.0257
0.13,551.921,20.0266
0.132,552.761,20.0274
0.134,553.602,20.0283
0.136,554.444,20.0291
0.138,555.287,20.03
0.14,556.132,20.0309
0.142,556.978,20.0318
0.144,557.825,20.0327
0.146,558.673,20.0337
0.148,559.523,20.0346
0.15,560.374,20.0356
0.152,561.226,20.0365
0.154,562.08,20.0375
