prey 1 growth rate,0.5
prey 1 death rate,0.0006
prey 2 growth rate,0.4
prey 2 death rate,0.0005
predator growth rate,0.0008
predator death rate,0.42
x1,500
x2,200
y,20
n,10000
t (days),100

timestep,x1,x2,y
0,500,200,20
0.01,502.446,200.977,20.0283
0.02,504.904,201.959,20.0572
0.03,507.373,202.946,20.0867
0.04,509.855,203.938,20.1168
0.05,512.349,204.934,20.1475
0.06,514.855,205.935,20.1788
0.07,517.373,206.941,20.2108
0.08,519.903,207.952,20.2433
0.09,522.446,208.968,20.2765
0.1,525,209.989,20.3103
0.11,527.568,211.014,20.3448
0.12,530.147,212.045,20.3799
0.13,532.74,213.081,20.4156
0.14,535.344,214.121,20.452
0.15,537.962,215.167,20.4891
0.16,540.592,216.218,20.5269
0.17,543.234,217.274,20.5653
0.18,545.89,218.335,20.6044
0.19,548.558,219.401,20.6442
0.2,551.24,220.472,20.6847
0.21,553.934,221.548,20.7259
0.22,556.641,222.63,20.7678
0.23,559.362,223.717,20.8104
0.24,562.095,224.809,20.8537
0.25,564.842,225.906,20.8978
0.26,567.602,227.009,20.9426
0.27,570.375,228.117,20.9882
0.28,573.162,229.23,21.0345
0.29,575.962,230.348,21.0816
0.3,578.776,231.473,21.1295
0.31,581.603,232.602,21.1781
0.32,584.444,233.737,21.2275
0.33,587.299,234.877,21.2777
0.34,590.167,236.023,21.3287
0.35,593.05,237.175,21.3805
0.36,595.946,238.331,21.4332
0.37,598.856,239.494,21.4866
0.38,601.78,240.662,21.5409
0.39,604.718,241.836,21.5961
0.4,607.67,243.015,21.6521
0.41,610.637,244.2,21.7089
0.42,613.618,245.391,21.7667
0.43,616.613,246.587,21.8253
0.44,619.622,247.789,21.8848
0.45,622.646,248.997,21.9453
0.46,625.685,250.211,22.0066
0.47,628.738,251.431,22.0689
0.48,631.806,252.656,22.1321
0.49,634.888,253.887,22.1962
0.5,637.985,255.124,22.2613
0.51,641.098,256.367,22.3274
0.52,644.225,257.617,22.3944
0.53,647.367,258.872,22.4624
0.54,650.524,260.133,22.5315
0.55,653.696,261.4,22.6015
0.56,656.884,262.673,22.6726
0.57,660.086,263.952,22.7447
0.58,663.304,265.237,22.8179
0.59,666.538,266.529,22.8921
0.6,669.787,267.826,22.9674
0.61,673.051,269.13,23.0438
0.62,676.331,270.44,23.1212
0.63,679.627,271.756,23.1998
0.64,682.938,273.079,23.2796
0.65,686.265,274.408,23.3604
0.66,689.608,275.743,23.4425
0.67,692.967,277.085,23.5257
0.68,696.342,278.433,23.61
0.69,699.734,279.787,23.6956
0.7,703.141,281.148,23.7824
0.71,706.564,282.515,23.8704
0.72,710.004,283.889,23.9597
0.73,713.46,285.269,24.0503
0.74,716.933,286.656,24.1421
0.75,720.422,288.049,24.2352
0.76,723.928,289.449,24.3296
0.77,727.45,290.856,24.4253
0.78,730.989,292.269,24.5224
0.79,734.545,293.689,24.6209
0.8,738.117,295.116,24.7207
0.81,741.707,296.549,24.822
0.82,745.314,297.989,24.9247
0.83,748.937,299.436,25.0288
0.84,752.578,300.89,25.1343
0.85,756.236,302.351,25.2413
0.86,759.911,303.819,25.3499
0.87,763.604,305.293,25.4599
0.88,767.314,306.775,25.5715
0.89,771.042,308.263,25.6846
0.9,774.787,309.759,25.7994
0.91,778.55,311.261,25.9157
0.92,782.33,312.771,26.0336
0.93,786.129,314.287,26.1532
0.94,789.945,315.811,26.2745
0.95,793.779,317.342,26.3974
0.96,797.631,318.88,26.5221
0.97,801.502,320.425,26.6485
0.98,805.39,321.978,26.7767
0.99,809.297,323.538,26.9067
1,813.222,325.105,27.0385
1.01,817.165,326.679,27.1721
1.02,821.127,328.261,27.3076
1.03,825.107,329.85,27.445
1.04,829.106,331.447,27.5843
1.05,833.124,333.051,27.7255
1.06,837.16,334.662,27.8688
1.07,841.216,336.281,28.014
1.08,845.29,337.908,28.1613
1.09,849.383,339.542,28.3107
1.1,853.495,341.183,28.4622
1.11,857.626,342.833,28.6158
1.12,861.777,344.489,28.7715
1.13,865.947,346.154,28.9295
1.14,870.136,347.826,29.0896
1.15,874.344,349.506,29.2521
1.16,878.572,351.194,29.4168
1.17,882.82,352.89,29.5839
1.18,887.087,354.593,29.7533
1.19,891.374,356.304,29.9252
1.2,895.681,358.023,30.0994
1.21,900.007,359.75,30.2762
1.22,904.354,361.485,30.4555
1.23,908.72,363.228,30.6373
1.24,913.107,364.979,30.8217
1.25,917.514,366.738,31.0088
1.26,921.941,368.505,31.1985
1.27,926.388,370.28,31.391
1.28,930.856,372.063,31.5862
1.29,935.344,373.854,31.7842
1.3,939.852,375.654,31.9851
1.31,944.382,377.461,32.1889
1.32,948.931,379.277,32.3956
1.33,953.502,381.101,32.6053
1.34,958.093,382.933,32.8181
1.35,962.706,384.774,33.0339
1.36,967.339,386.623,33.2529
1.37,971.993,388.48,33.4751
1.38,976.668,390.346,33.7005
1.39,981.365,392.22,33.9292
1.4,986.082,394.103,34.1613
1.41,990.821,395.994,34.3968
1.42,995.582,397.893,34.6357
1.43,1000.36,399.801,34.8782
1.44,1005.17,401.718,35.1242
1.45,1009.99,403.643,35.3739
1.46,1014.84,405.577,35.6273
1.47,1019.71,407.519,35.8845
1.48,1024.6,409.47,36.1454
1.49,1029.51,411.43,36.4103
1.5,1034.44,413.398,36.6792
1.51,1039.4,415.375,36.952
1.52,1044.37,417.361,37.229
1.53,1049.37,419.355,37.5102
1.54,1054.4,421.359,37.7956
1.55,1059.44,423.371,38.0853
1.56,1064.51,425.392,38.3794
1.57,1069.59,427.422,38.6779
1.58,1074.71,429.461,38.981
1.59,1079.84,431.508,39.2888
1.6,1084.99,433.565,39.6012
1.61,1090.17,435.63,39.9185
1.62,1095.37,437.705,40.2406
1.63,1100.6,439.789,40.5677
1.64,1105.84,441.881,40.8998
1.65,1111.11,443.983,41.2371
1.66,1116.41,446.093,41.5797
1.67,1121.72,448.213,41.9275
1.68,1127.06,450.342,42.2808
1.69,1132.42,452.48,42.6396
1.7,1137.8,454.627,43.0041
1.71,1143.21,456.783,43.3743
1.72,1148.64,458.948,43.7503
1.73,1154.09,461.123,44.1323
1.74,1159.57,463.307,44.5203
1.75,1165.07,465.5,44.9145
1.76,1170.59,467.702,45.315
1.77,1176.14,469.913,45.7219
1.78,1181.71,472.134,46.1353
1.79,1187.3,474.364,46.5554
1.8,1192.92,476.603,46.9822
1.81,1198.56,478.852,47.416
1.82,1204.22,481.109,47.8567
1.83,1209.91,483.376,48.3047
1.84,1215.62,485.653,48.7599
1.85,1221.35,487.939,49.2226
1.86,1227.11,490.234,49.6928
1.87,1232.89,492.538,50.1708
1.88,1238.7,494.852,50.6567
1.89,1244.53,497.175,51.1506
1.9,1250.38,499.508,51.6527
1.91,1256.26,501.85,52.1631
1.92,1262.16,504.201,52.6821
1.93,1268.08,506.562,53.2098
1.94,1274.03,508.932,53.7463
1.95,1280,511.311,54.2918
1.96,1285.99,513.7,54.8465
1.97,1292.01,516.098,55.4107
1.98,1298.05,518.505,55.9844
1.99,1304.12,520.922,56.5679
2,1310.21,523.348,57.1613
2.01,1316.32,525.784,57.7649
2.02,1322.46,528.229,58.3789
2.03,1328.62,530.683,59.0035
2.04,1334.81,533.147,59.6389
2.05,1341.02,535.619,60.2853
2.06,1347.25,538.102,60.9429
2.07,1353.5,540.593,61.6121
2.08,1359.78,543.094,62.2929
2.09,1366.08,545.604,62.9857
2.1,1372.41,548.123,63.6907
2.11,1378.76,550.651,64.4082
2.12,1385.13,553.188,65.1384
2.13,1391.53,555.735,65.8815
2.14,1397.95,558.291,66.6379
2.15,1404.39,560.856,67.4079
2.16,1410.85,563.43,68.1916
2.17,1417.34,566.013,68.9895
2.18,1423.85,568.605,69.8018
2.19,1430.39,571.205,70.6288
2.2,1436.95,573.815,71.4709
2.21,1443.53,576.434,72.3282
2.22,1450.13,579.062,73.2013
2.23,1456.75,581.698,74.0904
2.24,1463.4,584.343,74.9959
2.25,1470.07,586.997,75.918
2.26,1476.76,589.659,76.8573
2.27,1483.48,592.33,77.814
2.28,1490.21,595.01,78.7885
2.29,1496.97,597.698,79.7813
2.3,1503.75,600.394,80.7927
2.31,1510.55,603.099,81.8231
2.32,1517.37,605.812,82.873
2.33,1524.21,608.533,83.9428
2.34,1531.08,611.262,85.0329
2.35,1537.96,614,86.1437
2.36,1544.87,616.745,87.2758
2.37,1551.79,619.498,88.4297
2.38,1558.74,622.259,89.6057
2.39,1565.7,625.028,90.8044
2.4,1572.69,627.804,92.0264
2.41,1579.69,630.588,93.272
2.42,1586.72,633.379,94.542
2.43,1593.76,636.178,95.8368
2.44,1600.82,638.983,97.157
2.45,1607.9,641.796,98.5031
2.46,1615,644.615,99.8758
2.47,1622.12,647.442,101.276
2.48,1629.25,650.275,102.703
2.49,1636.4,653.114,104.16
2.5,1643.57,655.961,105.645
2.51,1650.75,658.813,107.16
2.52,1657.95,661.671,108.705
2.53,1665.17,664.535,110.282
2.54,1672.4,667.406,111.89
2.55,1679.65,670.281,113.532
2.56,1686.91,673.162,115.206
2.57,1694.19,676.049,116.915
2.58,1701.47,678.94,118.659
2.59,1708.78,681.837,120.438
2.6,1716.09,684.738,122.255
2.61,1723.42,687.644,124.108
2.62,1730.76,690.554,126.001
2.63,1738.11,693.468,127.932
2.64,1745.47,696.385,129.904
2.65,1752.84,699.307,131.917
2.66,1760.23,702.232,133.973
2.67,1767.62,705.159,136.071
2.68,1775.02,708.09,138.214
2.69,1782.42,711.024,140.403
2.7,1789.84,713.959,142.637
2.71,1797.26,716.897,144.92
2.72,1804.68,719.837,147.251
2.73,1812.11,722.777,149.632
2.74,1819.55,725.72,152.064
2.75,1826.99,728.663,154.548
2.76,1834.43,731.606,157.086
2.77,1841.88,734.55,159.679
2.78,1849.32,737.493,162.329
2.79,1856.77,740.436,165.036
2.8,1864.21,743.378,167.802
2.81,1871.65,746.318,170.628
2.82,1879.09,749.257,173.517
2.83,1886.53,752.194,176.469
2.84,1893.96,755.128,179.486
2.85,1901.39,758.06,182.57
2.86,1908.81,760.988,185.723
2.87,1916.23,763.912,188.945
2.88,1923.63,766.832,192.24
2.89,1931.02,769.747,195.607
2.9,1938.41,772.656,199.051
2.91,1945.78,775.56,202.571
2.92,1953.13,778.458,206.171
2.93,1960.48,781.349,209.852
2.94,1967.8,784.232,213.616
2.95,1975.11,787.107,217.465
2.96,1982.4,789.973,221.402
2.97,1989.67,792.831,225.428
2.98,1996.91,795.678,229.546
2.99,2004.13,798.515,233.758
3,2011.33,801.341,238.067
3.01,2018.5,804.155,242.474
3.02,2025.64,806.957,246.982
3.03,2032.75,809.745,251.595
3.04,2039.83,812.519,256.314
3.05,2046.88,815.279,261.141
3.06,2053.89,818.023,266.081
3.07,2060.86,820.751,271.135
3.08,2067.79,823.461,276.306
3.09,2074.68,826.154,281.598
3.1,2081.52,828.828,287.013
3.11,2088.32,831.482,292.554
3.12,2095.08,834.115,298.225
3.13,2101.78,836.727,304.029
3.14,2108.42,839.316,309.968
3.15,2115.02,841.882,316.047
3.16,2121.55,844.423,322.268
3.17,2128.03,846.939,328.635
3.18,2134.44,849.428,335.153
3.19,2140.79,851.889,341.823
3.2,2147.07,854.322,348.651
