prey growth rate = 0.5
prey death rate = 0.002
predator 1 growth rate = 0.00025
predator 1 death rate = 0.11
predator 2 growth rate = 0.00023
predator 2 death rate = 0.1
x = 500
y = 100
z = 100
n = 20000
t (days) = 500

| timestep |            x |            y |            z | 
|-------------------------------------------------------|
|     5.25 |      687.593 |              |              | 
|   11.125 |              |      156.899 |              | 
|   11.225 |              |              |      153.383 | 
|       33 |       687.48 |              |              | 
|   38.875 |              |       154.19 |              | 
|   38.975 |              |              |      156.057 | 
|   60.775 |       687.36 |              |              | 
|    66.65 |              |      151.477 |              | 
|    66.75 |              |              |      158.731 | 
|    88.55 |      687.246 |              |              | 
|   94.425 |              |      148.766 |              | 
|   94.525 |              |              |      161.407 | 
|  116.325 |      687.137 |              |              | 
|    122.2 |              |      146.056 |              | 
|    122.3 |              |              |      164.082 | 
|  144.125 |      687.022 |              |              | 
|  150.025 |              |      143.347 |              | 
|  150.125 |              |              |      166.752 | 
|   171.95 |        686.9 |              |              | 
|  177.825 |              |      140.645 |              | 
|  177.925 |              |              |      169.419 | 
|  199.775 |      686.783 |              |              | 
|   205.65 |              |      137.948 |              | 
|   205.75 |              |              |      172.079 | 
|    227.6 |      686.674 |              |              | 
|    233.5 |              |      135.259 |              | 
|    233.6 |              |              |       174.73 | 
|   255.45 |      686.557 |              |              | 
|  261.325 |              |      132.581 |              | 
|  261.425 |              |              |      177.374 | 
|    283.3 |      686.446 |              |              | 
|    289.2 |              |      129.912 |              | 
|    289.3 |              |              |      180.005 | 
|  311.175 |      686.328 |              |              | 
|  317.075 |              |      127.257 |              | 
|  317.175 |              |              |      182.624 | 
|   339.05 |      686.217 |              |              | 
|   344.95 |              |      124.616 |              | 
|   345.05 |              |              |       185.23 | 
|   366.95 |      686.099 |              |              | 
|   372.85 |              |      121.991 |              | 
|   372.95 |              |              |      187.819 | 
|   394.85 |      685.988 |              |              | 
|   400.75 |              |      119.383 |              | 
|   400.85 |              |              |      190.392 | 
|   422.75 |      685.882 |              |              | 
|   428.65 |              |      116.794 |              | 
|   428.75 |              |              |      192.947 | 
|  450.675 |      685.771 |              |              | 
|  456.575 |              |      114.225 |              | 
|  456.675 |              |              |      195.481 | 
|  478.625 |      685.653 |              |              | 
|  484.525 |              |      111.677 |              | 
|  484.625 |              |              |      197.993 | 
