prey growth rate,0.5
prey death rate,0.002
predator 1 growth rate,0.00025
predator 1 death rate,0.11
predator 2 growth rate,0.00023
predator 2 death rate,0.1
x,500
y,100
z,100
n,20000
t (days),500

timestep,x,y,z
0,500,100,100
0.025,501.251,100.038,100.038
0.05,502.502,100.077,100.076
0.075,503.755,100.116,100.116
0.1,505.01,100.156,100.156
0.125,506.265,100.197,100.197
0.15,507.521,100.239,100.238
0.175,508.778,100.282,100.281
0.2,510.036,100.326,100.324
0.225,511.295,100.37,100.367
0.25,512.555,100.415,100.412
0.275,513.815,100.461,100.457
0.3,515.077,100.508,100.503
0.325,516.339,100.555,100.55
0.35,517.601,100.604,100.598
0.375,518.865,100.653,100.646
0.4,520.128,100.703,100.695
0.425,521.392,100.754,100.745
0.45,522.657,100.805,100.795
0.475,523.922,100.858,100.846
0.5,525.187,100.911,100.899
0.525,526.453,100.965,100.951
0.55,527.719,101.02,101.005
0.575,528.985,101.076,101.059
0.6,530.251,101.133,101.114
0.625,531.517,101.19,101.17
0.65,532.783,101.249,101.227
0.675,534.049,101.308,101.284
0.7,535.315,101.368,101.343
0.725,536.58,101.428,101.402
0.75,537.846,101.49,101.461
0.775,539.111,101.553,101.522
0.8,540.375,101.616,101.583
0.825,541.64,101.68,101.645
0.85,542.903,101.745,101.708
0.875,544.167,101.811,101.772
0.9,545.429,101.878,101.836
0.925,546.691,101.945,101.901
0.95,547.952,102.014,101.967
0.975,549.213,102.083,102.034
1,550.472,102.153,102.101
1.025,551.731,102.224,102.17
1.05,552.989,102.296,102.239
1.075,554.245,102.368,102.309
1.1,555.501,102.442,102.379
1.125,556.755,102.516,102.451
1.15,558.008,102.592,102.523
1.175,559.259,102.668,102.596
1.2,560.51,102.745,102.67
1.225,561.759,102.822,102.745
1.25,563.006,102.901,102.82
1.275,564.251,102.981,102.896
1.3,565.495,103.061,102.973
1.325,566.738,103.142,103.051
1.35,567.978,103.224,103.13
1.375,569.217,103.307,103.209
1.4,570.453,103.391,103.289
1.425,571.688,103.476,103.37
1.45,572.92,103.562,103.452
1.475,574.151,103.648,103.534
1.5,575.379,103.735,103.618
1.525,576.604,103.824,103.702
1.55,577.828,103.913,103.787
1.575,579.048,104.003,103.873
1.6,580.267,104.093,103.959
1.625,581.483,104.185,104.047
1.65,582.696,104.278,104.135
1.675,583.906,104.371,104.224
1.7,585.113,104.465,104.314
1.725,586.318,104.561,104.404
1.75,587.519,104.657,104.496
1.775,588.718,104.754,104.588
1.8,589.913,104.851,104.681
1.825,591.105,104.95,104.774
1.85,592.293,105.05,104.869
1.875,593.479,105.15,104.964
1.9,594.66,105.251,105.061
1.925,595.839,105.354,105.158
1.95,597.013,105.457,105.255
1.975,598.184,105.561,105.354
2,599.351,105.665,105.453
2.025,600.515,105.771,105.554
2.05,601.674,105.878,105.655
2.075,602.829,105.985,105.756
2.1,603.98,106.093,105.859
2.125,605.127,106.202,105.962
2.15,606.27,106.313,106.066
2.175,607.408,106.423,106.171
2.2,608.542,106.535,106.277
2.225,609.671,106.648,106.384
2.25,610.795,106.761,106.491
2.275,611.915,106.876,106.599
2.3,613.03,106.991,106.708
2.325,614.141,107.107,106.818
2.35,615.246,107.224,106.929
2.375,616.346,107.342,107.04
2.4,617.441,107.461,107.152
2.425,618.531,107.58,107.265
2.45,619.616,107.701,107.379
2.475,620.695,107.822,107.493
2.5,621.768,107.944,107.609
2.525,622.836,108.068,107.725
2.55,623.899,108.191,107.842
2.575,624.956,108.316,107.959
2.6,626.007,108.442,108.078
2.625,627.052,108.568,108.197
2.65,628.091,108.696,108.317
2.675,629.123,108.824,108.438
2.7,630.15,108.953,108.559
2.725,631.171,109.083,108.682
2.75,632.185,109.214,108.805
2.775,633.192,109.345,108.929
2.8,634.194,109.478,109.053
2.825,635.188,109.611,109.179
2.85,636.176,109.745,109.305
2.875,637.157,109.88,109.432
2.9,638.131,110.016,109.56
2.925,639.098,110.153,109.688
2.95,640.059,110.29,109.817
2.975,641.012,110.428,109.947
3,641.958,110.568,110.078
3.025,642.896,110.707,110.21
3.05,643.827,110.848,110.342
3.075,644.751,110.99,110.475
3.1,645.667,111.132,110.609
3.125,646.576,111.276,110.743
3.15,647.476,111.42,110.878
3.175,648.369,111.565,111.014
3.2,649.254,111.71,111.151
3.225,650.131,111.857,111.288
3.25,651,112.004,111.427
3.275,651.861,112.152,111.565
3.3,652.713,112.301,111.705
3.325,653.557,112.451,111.845
3.35,654.393,112.601,111.987
3.375,655.22,112.753,112.128
3.4,656.039,112.905,112.271
3.425,656.849,113.057,112.414
3.45,657.65,113.211,112.558
3.475,658.442,113.365,112.702
3.5,659.226,113.521,112.848
3.525,660,113.677,112.994
3.55,660.766,113.833,113.14
3.575,661.522,113.991,113.288
3.6,662.269,114.149,113.436
3.625,663.006,114.308,113.584
3.65,663.734,114.467,113.734
3.675,664.453,114.628,113.884
3.7,665.162,114.789,114.035
3.725,665.862,114.951,114.186
3.75,666.551,115.114,114.338
3.775,667.231,115.277,114.491
3.8,667.901,115.441,114.644
3.825,668.561,115.606,114.798
3.85,669.211,115.771,114.953
3.875,669.851,115.938,115.108
3.9,670.481,116.104,115.264
3.925,671.1,116.272,115.42
3.95,671.71,116.44,115.578
3.975,672.308,116.609,115.735
4,672.896,116.779,115.894
4.025,673.474,116.949,116.053
4.05,674.041,117.12,116.212
4.075,674.598,117.292,116.372
4.1,675.143,117.464,116.533
4.125,675.678,117.637,116.695
4.15,676.202,117.811,116.857
4.175,676.715,117.985,117.019
4.2,677.217,118.16,117.182
4.225,677.707,118.335,117.346
4.25,678.187,118.511,117.51
4.275,678.655,118.688,117.675
4.3,679.112,118.866,117.84
4.325,679.558,119.043,118.006
4.35,679.993,119.222,118.172
4.375,680.415,119.401,118.339
4.4,680.827,119.581,118.506
4.425,681.226,119.761,118.674
4.45,681.614,119.942,118.843
4.475,681.991,120.123,119.012
4.5,682.355,120.305,119.181
4.525,682.708,120.488,119.351
4.55,683.049,120.671,119.521
4.575,683.378,120.854,119.692
4.6,683.695,121.039,119.864
4.625,684,121.223,120.035
4.65,684.293,121.408,120.208
4.675,684.574,121.594,120.38
4.7,684.842,121.78,120.553
4.725,685.099,121.967,120.727
4.75,685.343,122.154,120.901
4.775,685.575,122.341,121.075
4.8,685.794,122.529,121.25
4.825,686.001,122.718,121.425
4.85,686.196,122.907,121.601
4.875,686.378,123.096,121.777
4.9,686.548,123.286,121.953
4.925,686.705,123.476,122.13
4.95,686.85,123.666,122.307
4.975,686.982,123.857,122.484
5,687.101,124.049,122.662
5.025,687.208,124.241,122.84
5.05,687.302,124.433,123.019
5.075,687.383,124.625,123.198
5.1,687.451,124.818,123.377
5.125,687.507,125.011,123.556
5.15,687.55,125.205,123.736
5.175,687.58,125.399,123.916
5.2,687.597,125.593,124.096
5.225,687.601,125.787,124.277
5.25,687.593,125.982,124.457
5.275,687.571,126.177,124.638
5.3,687.536,126.373,124.82
5.325,687.489,126.568,125.001
5.35,687.429,126.764,125.183
5.375,687.355,126.96,125.365
5.4,687.269,127.157,125.547
5.425,687.169,127.353,125.729
5.45,687.057,127.55,125.912
5.475,686.931,127.747,126.095
5.5,686.793,127.945,126.278
5.525,686.641,128.142,126.461
5.55,686.477,128.34,126.644
5.575,686.299,128.537,126.827
5.6,686.109,128.735,127.011
5.625,685.905,128.933,127.194
5.65,685.688,129.132,127.378
5.675,685.459,129.33,127.562
5.7,685.216,129.529,127.746
5.725,684.96,129.727,127.93
5.75,684.692,129.926,128.114
5.775,684.41,130.124,128.298
5.8,684.115,130.323,128.482
5.825,683.807,130.522,128.666
5.85,683.487,130.721,128.851
5.875,683.153,130.92,129.035
5.9,682.807,131.119,129.219
5.925,682.447,131.318,129.403
5.95,682.075,131.517,129.588
5.975,681.69,131.716,129.772
6,681.292,131.915,129.956
6.025,680.881,132.114,130.14
6.05,680.458,132.313,130.325
6.075,680.021,132.511,130.509
6.1,679.572,132.71,130.693
6.125,679.11,132.909,130.877
6.15,678.636,133.107,131.06
6.175,678.149,133.306,131.244
6.2,677.649,133.504,131.428
6.225,677.137,133.703,131.611
6.25,676.612,133.901,131.794
6.275,676.075,134.099,131.978
6.3,675.526,134.296,132.161
6.325,674.963,134.494,132.344
6.35,674.389,134.691,132.526
6.375,673.802,134.889,132.709
6.4,673.203,135.086,132.891
6.425,672.592,135.282,133.073
6.45,671.969,135.479,133.255
6.475,671.333,135.675,133.437
6.5,670.686,135.871,133.618
6.525,670.026,136.067,133.799
6.55,669.355,136.262,133.98
6.575,668.671,136.458,134.16
6.6,667.976,136.652,134.341
6.625,667.269,136.847,134.521
6.65,666.55,137.041,134.7
6.675,665.82,137.235,134.88
6.7,665.078,137.429,135.059
6.725,664.324,137.622,135.237
6.75,663.559,137.814,135.416
6.775,662.783,138.007,135.594
6.8,661.995,138.199,135.771
6.825,661.196,138.39,135.948
6.85,660.386,138.581,136.125
6.875,659.565,138.772,136.302
6.9,658.732,138.962,136.478
6.925,657.889,139.152,136.653
6.95,657.035,139.341,136.828
6.975,656.169,139.53,137.003
7,655.294,139.718,137.177
7.025,654.407,139.906,137.351
7.05,653.51,140.093,137.524
7.075,652.602,140.28,137.697
7.1,651.684,140.466,137.869
7.125,650.756,140.652,138.04
7.15,649.817,140.837,138.212
7.175,648.868,141.021,138.382
7.2,647.909,141.205,138.552
7.225,646.94,141.388,138.722
7.25,645.961,141.571,138.891
7.275,644.973,141.752,139.059
7.3,643.974,141.934,139.227
7.325,642.966,142.114,139.394
7.35,641.948,142.294,139.561
7.375,640.921,142.474,139.727
7.4,639.884,142.652,139.892
7.425,638.839,142.83,140.056
7.45,637.784,143.007,140.22
7.475,636.719,143.183,140.384
7.5,635.646,143.359,140.547
7.525,634.564,143.534,140.708
7.55,633.473,143.708,140.87
7.575,632.374,143.882,141.03
7.6,631.266,144.054,141.19
7.625,630.149,144.226,141.349
7.65,629.024,144.397,141.508
7.675,627.891,144.567,141.665
7.7,626.749,144.737,141.822
7.725,625.599,144.905,141.979
7.75,624.442,145.073,142.134
7.775,623.276,145.24,142.289
7.8,622.103,145.405,142.442
7.825,620.921,145.571,142.595
7.85,619.733,145.735,142.748
7.875,618.537,145.898,142.899
7.9,617.333,146.06,143.05
7.925,616.122,146.222,143.199
7.95,614.904,146.382,143.348
7.975,613.679,146.542,143.496
8,612.447,146.7,143.643
8.025,611.208,146.858,143.79
8.05,609.963,147.015,143.935
8.075,608.711,147.17,144.08
8.1,607.452,147.325,144.223
8.125,606.187,147.479,144.366
8.15,604.915,147.631,144.508
8.175,603.638,147.783,144.649
8.2,602.354,147.934,144.789
8.225,601.065,148.083,144.928
8.25,599.769,148.232,145.066
8.275,598.468,148.379,145.203
8.3,597.161,148.526,145.339
8.325,595.848,148.671,145.474
8.35,594.53,148.815,145.609
8.375,593.207,148.958,145.742
8.4,591.879,149.101,145.874
8.425,590.545,149.242,146.005
8.45,589.207,149.381,146.136
8.475,587.863,149.52,146.265
8.5,586.515,149.658,146.393
8.525,585.162,149.794,146.52
8.55,583.805,149.93,146.647
8.575,582.443,150.064,146.772
8.6,581.077,150.197,146.896
8.625,579.707,150.329,147.019
8.65,578.333,150.459,147.141
8.675,576.954,150.589,147.262
8.7,575.572,150.717,147.382
8.725,574.186,150.844,147.5
8.75,572.796,150.97,147.618
8.775,571.403,151.095,147.735
8.8,570.006,151.218,147.85
8.825,568.606,151.34,147.965
8.85,567.202,151.462,148.078
8.875,565.796,151.581,148.19
8.9,564.386,151.7,148.301
8.925,562.974,151.817,148.411
8.95,561.559,151.933,148.52
8.975,560.141,152.048,148.628
9,558.72,152.162,148.734
9.025,557.297,152.274,148.84
9.05,555.872,152.385,148.944
9.075,554.444,152.495,149.047
9.1,553.014,152.603,149.149
9.125,551.582,152.71,149.25
9.15,550.148,152.816,149.35
9.175,548.712,152.921,149.448
9.2,547.275,153.024,149.545
9.225,545.835,153.126,149.641
9.25,544.394,153.226,149.736
9.275,542.952,153.326,149.83
9.3,541.508,153.424,149.923
9.325,540.063,153.52,150.014
9.35,538.617,153.616,150.104
9.375,537.17,153.71,150.193
9.4,535.722,153.802,150.281
9.425,534.273,153.894,150.368
9.45,532.823,153.984,150.453
9.475,531.372,154.072,150.538
9.5,529.921,154.16,150.621
9.525,528.469,154.246,150.702
9.55,527.017,154.33,150.783
9.575,525.565,154.414,150.862
9.6,524.112,154.495,150.94
9.625,522.659,154.576,151.017
9.65,521.206,154.655,151.093
9.675,519.754,154.733,151.167
9.7,518.301,154.809,151.241
9.725,516.849,154.884,151.313
9.75,515.396,154.958,151.384
9.775,513.945,155.031,151.453
9.8,512.493,155.101,151.521
9.825,511.043,155.171,151.589
9.85,509.593,155.239,151.654
9.875,508.144,155.306,151.719
9.9,506.695,155.372,151.782
9.925,505.248,155.436,151.844
9.95,503.801,155.498,151.905
9.975,502.356,155.56,151.965
10,500.911,155.62,152.023
10.025,499.468,155.678,152.081
10.05,498.027,155.735,152.137
10.075,496.586,155.791,152.191
10.1,495.147,155.846,152.245
10.125,493.71,155.899,152.297
10.15,492.274,155.95,152.348
10.175,490.84,156,152.398
10.2,489.408,156.049,152.446
10.225,487.977,156.097,152.494
10.25,486.549,156.143,152.54
10.275,485.122,156.188,152.584
10.3,483.698,156.231,152.628
10.325,482.275,156.273,152.67
10.35,480.855,156.314,152.711
10.375,479.437,156.353,152.751
10.4,478.021,156.391,152.79
10.425,476.608,156.427,152.827
10.45,475.197,156.462,152.863
10.475,473.789,156.496,152.898
10.5,472.383,156.528,152.932
10.525,470.98,156.559,152.964
10.55,469.58,156.589,152.995
10.575,468.182,156.617,153.025
10.6,466.787,156.644,153.054
10.625,465.395,156.67,153.082
10.65,464.007,156.694,153.108
10.675,462.621,156.717,153.133
10.7,461.238,156.738,153.157
10.725,459.858,156.758,153.18
10.75,458.482,156.777,153.201
10.775,457.108,156.795,153.222
10.8,455.738,156.811,153.241
10.825,454.371,156.825,153.259
10.85,453.008,156.839,153.275
10.875,451.648,156.851,153.291
10.9,450.292,156.862,153.305
10.925,448.939,156.871,153.318
10.95,447.59,156.879,153.33
10.975,446.244,156.886,153.341
11,444.902,156.891,153.35
11.025,443.564,156.896,153.358
11.05,442.23,156.898,153.366
11.075,440.899,156.9,153.372
11.1,439.572,156.9,153.376
11.125,438.249,156.899,153.38
11.15,436.93,156.897,153.382
11.175,435.616,156.893,153.384
11.2,434.305,156.888,153.384
11.225,432.998,156.882,153.383
11.25,431.695,156.874,153.381
11.275,430.397,156.866,153.378
11.3,429.102,156.856,153.373
11.325,427.812,156.844,153.367
11.35,426.527,156.832,153.361
11.375,425.245,156.818,153.353
11.4,423.968,156.803,153.344
11.425,422.695,156.786,153.334
11.45,421.427,156.769,153.323
11.475,420.163,156.75,153.31
11.5,418.903,156.73,153.297
11.525,417.648,156.709,153.282
11.55,416.398,156.686,153.267
11.575,415.152,156.663,153.25
11.6,413.91,156.638,153.232
11.625,412.674,156.611,153.213
11.65,411.442,156.584,153.193
11.675,410.214,156.556,153.172
11.7,408.991,156.526,153.15
11.725,407.773,156.495,153.127
11.75,406.56,156.463,153.102
11.775,405.352,156.429,153.077
11.8,404.148,156.395,153.05
11.825,402.949,156.359,153.023
11.85,401.755,156.323,152.994
11.875,400.566,156.285,152.965
11.9,399.382,156.246,152.934
11.925,398.203,156.205,152.903
11.95,397.028,156.164,152.87
11.975,395.859,156.121,152.836
12,394.694,156.078,152.802
12.025,393.535,156.033,152.766
12.05,392.38,155.987,152.729
12.075,391.231,155.94,152.691
12.1,390.087,155.892,152.653
12.125,388.947,155.843,152.613
12.15,387.813,155.793,152.572
12.175,386.684,155.741,152.53
12.2,385.56,155.689,152.488
12.225,384.441,155.635,152.444
12.25,383.327,155.581,152.4
12.275,382.218,155.525,152.354
12.3,381.115,155.468,152.307
12.325,380.016,155.411,152.26
12.35,378.923,155.352,152.212
12.375,377.835,155.292,152.162
12.4,376.752,155.231,152.112
12.425,375.675,155.169,152.061
12.45,374.602,155.107,152.009
12.475,373.535,155.043,151.955
12.5,372.473,154.978,151.902
12.525,371.417,154.912,151.847
12.55,370.365,154.845,151.791
12.575,369.319,154.777,151.734
12.6,368.278,154.708,151.677
12.625,367.242,154.638,151.618
12.65,366.212,154.568,151.559
12.675,365.187,154.496,151.499
12.7,364.167,154.423,151.438
12.725,363.153,154.349,151.376
12.75,362.144,154.275,151.313
12.775,361.14,154.199,151.249
12.8,360.141,154.123,151.185
12.825,359.148,154.045,151.12
12.85,358.16,153.967,151.053
12.875,357.177,153.888,150.986
12.9,356.2,153.808,150.919
12.925,355.228,153.727,150.85
12.95,354.261,153.645,150.781
12.975,353.3,153.562,150.71
13,352.344,153.478,150.639
13.025,351.393,153.394,150.568
13.05,350.448,153.309,150.495
13.075,349.507,153.222,150.422
13.1,348.573,153.135,150.348
13.125,347.643,153.047,150.273
13.15,346.719,152.959,150.197
13.175,345.8,152.869,150.121
13.2,344.887,152.779,150.043
13.225,343.978,152.687,149.965
13.25,343.075,152.595,149.887
13.275,342.178,152.502,149.807
13.3,341.286,152.409,149.727
13.325,340.399,152.314,149.646
13.35,339.517,152.219,149.565
13.375,338.64,152.123,149.482
13.4,337.769,152.026,149.399
13.425,336.903,151.929,149.316
13.45,336.043,151.831,149.231
13.475,335.187,151.732,149.146
13.5,334.337,151.632,149.061
13.525,333.493,151.531,148.974
13.55,332.653,151.43,148.887
13.575,331.819,151.328,148.799
13.6,330.99,151.226,148.711
13.625,330.166,151.122,148.622
13.65,329.347,151.018,148.532
13.675,328.534,150.913,148.442
13.7,327.726,150.808,148.351
13.725,326.923,150.702,148.259
13.75,326.125,150.595,148.167
13.775,325.333,150.487,148.074
13.8,324.545,150.379,147.98
13.825,323.763,150.27,147.886
13.85,322.986,150.161,147.792
13.875,322.214,150.051,147.696
13.9,321.448,149.94,147.6
13.925,320.686,149.828,147.504
13.95,319.93,149.716,147.407
13.975,319.179,149.604,147.309
14,318.433,149.49,147.211
14.025,317.692,149.377,147.112
14.05,316.956,149.262,147.013
14.075,316.225,149.147,146.913
14.1,315.499,149.031,146.813
14.125,314.778,148.915,146.712
14.15,314.063,148.798,146.61
14.175,313.352,148.681,146.508
14.2,312.647,148.563,146.406
14.225,311.946,148.444,146.303
14.25,311.251,148.325,146.199
14.275,310.561,148.206,146.095
14.3,309.875,148.085,145.99
14.325,309.195,147.965,145.885
14.35,308.519,147.843,145.78
14.375,307.849,147.722,145.673
14.4,307.183,147.599,145.567
14.425,306.523,147.477,145.46
14.45,305.867,147.353,145.352
14.475,305.217,147.23,145.244
14.5,304.571,147.105,145.136
14.525,303.93,146.981,145.027
14.55,303.294,146.855,144.918
14.575,302.663,146.73,144.808
14.6,302.037,146.603,144.698
14.625,301.416,146.477,144.587
14.65,300.799,146.35,144.476
14.675,300.188,146.222,144.364
14.7,299.581,146.094,144.252
14.725,298.979,145.966,144.14
14.75,298.382,145.837,144.027
14.775,297.79,145.708,143.914
14.8,297.202,145.578,143.801
14.825,296.619,145.448,143.687
14.85,296.041,145.317,143.572
14.875,295.468,145.186,143.458
14.9,294.899,145.055,143.343
14.925,294.336,144.923,143.227
14.95,293.776,144.791,143.111
14.975,293.222,144.659,142.995
15,292.672,144.526,142.878
